user_id,max_anomaly_score,total_amount
U1227,0.9999999974643662,8216.97
U1252,0.9790601381532383,5459.52
U1373,0.9685674979651088,4006.79
U1173,0.964394956536615,7664.11
U1371,0.9641589668252849,4636.44
U1359,0.9514153955003097,4461.75
U1370,0.9461531617436374,3206.08
U1052,0.930360000771397,4155.96
U1230,0.9301896455850127,2465.45
U1332,0.9294142797583819,2922.1
U1300,0.924623433117905,1587.54
U1165,0.9227598030178027,3977.83
U1138,0.9152920644926378,5329.7300000000005
U1197,0.9119920749078095,5841.62
U1374,0.9117552997842981,6457.5199999999995
U1153,0.907538574829969,2571.1099999999997
U1016,0.9052201418278462,4709.24
U1139,0.9043712610049566,1518.76
U1217,0.8926837499575379,3242.3199999999997
U1284,0.8916975043065873,5541.91
U1059,0.8911751159284008,2805.99
U1093,0.8885052612173335,4175.51
U1239,0.8788576655187095,2178.4900000000002
U1043,0.8776880588730603,4495.0
U1223,0.8763480115343638,1709.84
U1007,0.8739245013802196,1906.57
U1348,0.8714601502905175,3169.67
U1291,0.8704565189247098,3215.7400000000002
U1075,0.8690369785813199,3301.84
U1306,0.8667076074897568,2815.29
U1118,0.8652792163932269,1663.42
U1132,0.8638281020593787,3490.36
U1392,0.8636585444939365,2043.25
U1180,0.863337072176797,4193.93
U1391,0.8631468459836524,2094.48
U1353,0.863073701326624,2295.23
U1163,0.8625418748669826,1356.52
U1389,0.861083112592548,2077.79
U1338,0.8610322492946708,3792.87
U1382,0.8609131672479632,3254.26
U1343,0.860891757982449,3524.54
U1160,0.8600966109371826,4406.52
U1172,0.8598211043446065,1311.57
U1384,0.8591509128745921,1313.94
U1222,0.8587687757678132,3115.6
U1184,0.8586203440602322,2102.92
U1215,0.8584845521460789,3671.33
U1039,0.8539981195525181,1814.02
U1177,0.8535291710331918,4038.88
U1288,0.851984882084503,2054.37
U1100,0.8515985566310532,1389.01
U1248,0.848576583989991,2692.2200000000003
U1387,0.8465247105024326,1204.85
U1208,0.8458403842516373,2378.8
U1195,0.8456154191441414,2539.31
U1147,0.8444092278079065,2018.03
U1381,0.843603500197104,3172.45
U1321,0.843504680669338,2424.06
U1376,0.8425037982063122,1366.3
U1136,0.8409168676553429,3780.42
U1286,0.8396129777783824,3407.6800000000003
U1385,0.8390093771031923,1524.2
U1156,0.8385959553111808,3764.91
U1273,0.8382208043395686,2886.6800000000003
U1209,0.8378148136986352,2137.36
U1202,0.8363110290209151,2486.17
U1297,0.836222098204527,1607.74
U1069,0.8349146581089877,1860.9299999999998
U1362,0.8346280776346079,3851.42
U1254,0.8332524212722255,1757.0800000000002
U1260,0.831591468747946,1330.13
U1116,0.8310291463551208,4454.59
U1337,0.8303423071524357,2594.31
U1125,0.8296485591789692,2293.12
U1070,0.8293554846848861,3068.68
U1290,0.8259310407082615,2631.65
U1021,0.8247074404511201,3717.13
U1128,0.8233029160195614,671.19
U1257,0.8229180874340081,2875.35
U1368,0.8224035239739382,2025.8600000000001
U1196,0.8222341073189618,2085.87
U1030,0.8214283648260894,3356.61
U1251,0.8203876218571007,2248.8900000000003
U1175,0.8197884838936296,2710.37
U1019,0.8195156174359803,2114.87
U1201,0.8184093828477448,2012.04
U1313,0.8172647510004318,1050.72
U1304,0.8150640082670461,1701.1599999999999
U1068,0.814780056431628,1978.58
U1218,0.8141139510230714,3200.01
U1131,0.8136275631450981,1291.96
U1393,0.8128255206581738,1222.25
U1048,0.8124929644569913,2689.7200000000003
U1336,0.8121737367931031,1961.9299999999998
U1316,0.8120204174741896,1918.71
U1182,0.8113097536653245,2320.65
U1335,0.8109505207789828,1285.3
U1185,0.8095323359467176,2102.81
U1119,0.8087686143559426,3297.99
U1325,0.808491755187418,1157.24
U1193,0.8076317829845538,1109.81
U1314,0.8062235794702663,2425.17
U1350,0.8060309518136676,4497.27
U1377,0.805164369079428,2397.05
U1062,0.8033746666262725,1852.3200000000002
U1057,0.8020578336705889,745.41
U1360,0.8020124734301964,2398.59
U1178,0.7996975589411542,2029.0299999999997
U1283,0.7989440939046707,743.12
U1109,0.7979844102330446,2286.1000000000004
U1053,0.7974862460187054,2001.5
U1085,0.7969891264070401,2818.49
U1296,0.7948298317159859,1185.63
U1397,0.7935751908532125,2724.26
U1143,0.7921018710522418,1364.31
U1146,0.7917512755074526,932.14
U1305,0.788284735263482,1646.17
U1122,0.7881277005693145,1289.66
U1067,0.7877359658729799,1137.66
U1276,0.7875868169477478,3374.61
U1258,0.7875809967929646,1190.07
U1212,0.7870056828129818,1100.42
U1190,0.7847014133676167,1272.05
U1270,0.7841531430900137,1937.5
U1331,0.7837807655851884,2603.89
U1363,0.7836613039305044,876.59
U1250,0.7835266171552484,2024.77
U1237,0.7835197842480734,1785.02
U1001,0.7825792212521319,1336.76
U1049,0.7816374710881525,2086.37
U1045,0.7810863109711259,2187.46
U1308,0.7809679594779373,2616.95
U1263,0.7773607315468094,1085.07
U1396,0.7767892552118123,2143.6800000000003
U1323,0.7766360703864654,1948.28
U1249,0.7753043733899891,1719.51
U1009,0.7746028430411624,1103.84
U1333,0.7744630000880207,1788.0500000000002
U1317,0.7731524177017975,2092.02
U1123,0.7730093813016836,2405.29
U1200,0.771342420968773,1588.7
U1079,0.7711483221601868,2741.0099999999998
U1235,0.7698402851874491,2064.16
U1089,0.76981455150098,1999.6100000000001
U1055,0.7694482066774344,1072.31
U1213,0.7690445109188757,2085.79
U1038,0.7673559073316433,1986.79
U1086,0.7672577027817379,591.64
U1256,0.7672332556853068,2581.5299999999997
U1054,0.7660218653415528,3771.18
U1002,0.7647639626882287,1164.42
U1031,0.7616290768584402,2314.12
U1299,0.7562148799592334,992.03
U1004,0.7555217919061987,1677.6699999999998
U1072,0.75514573458483,2315.49
U1191,0.7550759220751218,1049.37
U1036,0.753690671577341,2642.96
U1126,0.7536516285990265,2617.47
U1133,0.7529393527742902,1067.82
U1188,0.751868254238166,2177.1800000000003
U1287,0.7497634635916025,1045.71
U1117,0.7496285156847513,1023.83
U1372,0.7489269395598388,1099.85
U1081,0.7487162207855126,1792.81
U1032,0.7479153708473637,828.52
U1066,0.7466215105421369,1945.17
U1307,0.7458296028519391,2916.38
U1366,0.7446212796625703,1050.35
U1232,0.7421621300250247,963.38
U1210,0.7407112238956712,1727.87
U1042,0.7402039496192033,1081.2
U1216,0.7392486538567699,2243.46
U1121,0.7390103215005641,1740.81
U1060,0.7352366358205707,854.76
U1253,0.734005656243072,2394.33
U1025,0.733560331712631,2110.82
U1171,0.732187055583517,1411.5500000000002
U1164,0.7314950685627724,512.52
U1179,0.7303085580740832,1125.08
U1346,0.7300219289468862,1002.12
U1061,0.7295815955582905,1750.43
U1243,0.7287053402160529,1890.7199999999998
U1334,0.7276242818499888,1198.6100000000001
U1113,0.7273425310723385,2148.0299999999997
U1080,0.7269681378425342,2950.48
U1264,0.7267194260993011,1835.56
U1003,0.7264179419971571,981.93
U1046,0.7261042505370777,784.4
U1044,0.7253985023289514,1039.14
U1064,0.7248945520951268,1589.75
U1379,0.7244447587593681,2311.4
U1224,0.7203222191213516,1257.23
U1091,0.7185881439776692,815.72
U1087,0.7185103996183215,2410.42
U1000,0.7180658271342887,678.35
