tx_id,user_id,amount,anomaly_score
129283,U1227,1355.93,0.9999999974643662
144453,U1252,1395.19,0.9790601381532383
116124,U1373,1960.64,0.9685674979651088
111839,U1173,556.33,0.964394956536615
162311,U1371,1517.53,0.9641589668252849
112294,U1173,498.59,0.9559623870071312
105974,U1252,873.61,0.9555747572464214
120980,U1359,1365.45,0.9514153955003097
151248,U1370,1341.23,0.9461531617436374
117852,U1173,896.41,0.9430185061661981
151765,U1173,815.79,0.9417535954089858
167634,U1371,1203.6,0.9368069200154048
130128,U1371,1196.06,0.9316524504315258
123980,U1052,1092.38,0.930360000771397
147329,U1230,1852.08,0.9301896455850127
144339,U1332,1176.96,0.9294142797583819
104589,U1300,667.49,0.924623433117905
125969,U1165,940.23,0.9227598030178027
128459,U1138,1082.15,0.9152920644926378
116668,U1370,1082.45,0.9131249553380143
156421,U1197,1159.53,0.9119920749078095
132106,U1374,1094.52,0.9117552997842981
102191,U1197,878.21,0.9097016429659426
127326,U1153,1505.85,0.907538574829969
131825,U1016,1266.23,0.9052201418278462
155886,U1139,1518.76,0.9043712610049566
113962,U1173,775.55,0.9004532345082702
115051,U1173,774.8,0.8999404774112398
161682,U1217,1601.53,0.8926837499575379
128878,U1284,1352.49,0.8916975043065873
155732,U1197,915.52,0.8912808776617174
114711,U1059,1371.41,0.8911751159284008
109785,U1227,870.51,0.8899888087126833
102879,U1138,786.01,0.8892185693108167
131128,U1016,1129.12,0.8888261969819129
163510,U1093,1237.88,0.8885052612173335
128885,U1227,5.0,0.8879445885252257
129342,U1227,149.68,0.8848090336454947
111829,U1016,1167.92,0.8839567983701142
162240,U1252,841.94,0.8795372765507835
118054,U1165,885.09,0.8792754315509571
150596,U1239,1385.69,0.8788576655187095
148122,U1043,1165.97,0.8776880588730603
129171,U1227,58.07,0.8768984547050883
164243,U1223,1709.84,0.8763480115343638
105511,U1374,947.21,0.8744290915977672
110348,U1007,1773.8,0.8739245013802196
126839,U1373,916.91,0.8721241755051845
148616,U1348,903.13,0.8714601502905175
128704,U1227,87.61,0.8713189727906565
148093,U1291,1448.89,0.8704565189247098
129385,U1227,121.22,0.869423164150499
160137,U1075,1506.73,0.8690369785813199
150143,U1227,842.19,0.8673398660332524
151447,U1306,1303.81,0.8667076074897568
130934,U1118,1643.29,0.8652792163932269
127912,U1132,721.7,0.8638281020593787
166973,U1392,970.53,0.8636585444939365
111964,U1180,1315.34,0.863337072176797
